sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80
0	0	13	46	31	17	0	23	0	145	0	0	69	0	0	4	45	74	0	0	0	0	0	40	28	10	86	63	0	24	0	0	1	0	31	72	0	0	0	0	44	0	0	18	127	0	25	50	50	0	0	20	0	0	0	204	0	0	13	67	119	8	0	0	96	0	0	197	0	0	0	38	0	97	0	0	0	136	144	88
31	30	7	19	0	0	0	0	0	0	171	0	19	0	0	0	0	0	0	0	125	13	27	99	0	0	39	28	0	0	0	20	0	0	7	30	44	0	0	0	114	6	20	0	46	0	0	115	0	0	1	0	27	0	28	144	0	0	0	41	0	15	0	0	46	0	95	0	0	0	0	10	0	67	75	0	14	0	0	62
0	22	25	0	0	9	0	0	0	49	291	0	11	4	0	0	0	0	0	54	37	1	30	10	0	0	18	0	0	6	0	43	0	1	0	0	0	0	0	0	25	0	0	0	79	6	0	46	14	0	0	0	0	0	0	99	0	0	0	0	226	0	0	0	14	30	0	25	30	27	29	0	0	25	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	29	0	0	0	61	0	0	24	0	5	0	0	0	0	0	87	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0
43	0	193	214	172	220	0	52	0	317	861	99	171	0	315	228	0	197	151	236	710	410	384	362	151	71	590	332	299	0	0	152	0	0	186	164	0	0	0	24	187	0	108	33	283	243	55	671	84	0	64	292	148	48	30	0	142	0	15	251	578	0	0	50	677	106	132	119	0	0	106	144	0	239	341	35	0	522	919	523
0	0	0	0	0	18	0	0	0	0	26	0	0	0	0	67	0	0	0	0	0	0	120	0	0	0	15	41	0	0	0	36	0	0	0	0	54	0	6	0	2	0	0	0	108	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	129	0	64	0	9	0	0	0	0	0	0	0	0	0	0	17
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	32	76	30	0	0	4	37	76	0	0	19	0	0	0	0	0	0	14	0	0	0	0	5	0	0	19	16	0	19	0	0	0	0	0	0	0	0	0	0	0	73	19	0	0	0	74	0	0	0	37	0	0	0	0	0	0	0	71	34	0
0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	7	5
0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	143	116	185	0	63	0	0	140	0	0	0	36	0	0	109	161	0	0	0	0	86	0	0	4	0	0	0	92	0	43	0	0	0	0	0	227	0	0	0	27	0	0	0	46	0	0	39	22	0	0	18	0	0	0	0	23	0	0	42	13
0	0	0	0	0	0	0	0	0	4	78	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	2	4	3	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	131	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	0	0	0	0
582	38	189	304	108	91	47	73	0	352	250	305	184	47	205	154	0	404	337	132	522	282	595	181	230	0	541	1163	127	168	159	293	0	79	87	318	75	150	7	55	416	19	16	0	514	84	47	566	341	125	55	423	0	109	136	603	0	0	44	188	688	49	53	102	728	992	913	250	141	660	300	55	0	441	464	344	0	656	824	594
95	35	20	67	33	42	15	15	0	193	142	0	18	16	30	52	0	154	19	55	94	61	123	138	29	0	101	102	0	26	17	12	0	8	56	45	28	3	0	0	42	7	0	34	76	0	11	30	0	11	0	54	0	7	22	127	0	0	0	32	155	18	0	24	73	76	88	242	0	157	14	16	5	221	118	24	101	104	53	141
0	0	0	68	0	0	0	0	0	0	80	0	0	23	8	114	0	55	49	162	43	130	0	53	56	0	0	0	43	0	0	32	0	26	0	0	33	0	0	22	81	0	0	0	111	0	0	0	0	0	0	202	0	53	15	94	52	0	0	19	217	53	4	27	26	50	182	0	22	72	0	33	0	89	38	31	50	22	125	54
26	0	0	0	0	0	0	0	0	47	0	0	12	0	18	0	0	0	0	29	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	22	214	0	0	6	0	93	15	0	12	0	0	57	24	0	46	0	0	0	0	22	0	19	117	96	0
183	101	17	689	52	83	38	0	0	1723	1053	234	61	99	254	88	23	1039	160	1068	0	319	529	905	773	47	956	110	139	176	24	86	0	77	62	557	750	461	0	76	602	71	91	24	1840	546	0	231	332	80	38	141	142	347	272	1284	94	0	33	344	585	687	33	572	1213	102	619	97	0	1109	25	230	9	1045	33	45	312	393	501	525
117	0	0	42	33	41	0	0	0	0	116	45	0	0	114	141	28	0	66	348	0	0	0	473	0	0	75	151	96	110	52	49	0	17	0	93	179	49	0	0	163	0	0	77	76	29	28	468	0	2	0	0	0	131	0	65	0	0	0	43	488	0	0	0	241	0	309	0	0	98	0	55	3	84	182	0	29	420	246	99
0	41	0	139	0	18	0	24	0	0	36	0	30	0	0	121	0	56	0	0	64	46	0	55	0	0	126	134	30	0	0	59	0	0	31	38	69	12	0	0	0	0	0	15	211	0	8	14	0	0	12	0	0	14	39	133	0	0	0	45	47	0	0	0	147	89	99	145	20	0	12	0	0	38	195	0	29	0	92	106
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	0	6	0	0	3	401	0	3
10	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	78	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0
302	62	25	45	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	35	47	361	0	297	0	12	0	22	0	78	0	0	0	15	14	0	0	0	0	0	0	0	28	0	433	0	0	323	151	0	0	98	0	97	0	211	0	0	0	0	0	0	0	0	0	41	374	14	0	0	0	32	0	0	0	0	0	316	32	0
